episode,total_reward,success,steps_taken
841,-160.0,True,160
842,-163.0,True,163
843,-167.0,True,167
844,-174.0,True,174
845,-162.0,True,162
846,-164.0,True,164
847,-157.0,True,157
848,-162.0,True,162
849,-166.0,True,166
850,-163.0,True,163
851,-175.0,True,175
852,-150.0,True,150
853,-153.0,True,153
854,-165.0,True,165
855,-157.0,True,157
856,-165.0,True,165
857,-163.0,True,163
858,-157.0,True,157
859,-163.0,True,163
860,-158.0,True,158
861,-152.0,True,152
862,-165.0,True,165
863,-162.0,True,162
864,-158.0,True,158
865,-171.0,True,171
866,-185.0,True,185
867,-148.0,True,148
868,-153.0,True,153
869,-153.0,True,153
870,-154.0,True,154
871,-153.0,True,153
872,-175.0,True,175
873,-154.0,True,154
874,-152.0,True,152
875,-148.0,True,148
876,-154.0,True,154
877,-147.0,True,147
878,-182.0,True,182
879,-148.0,True,148
880,-153.0,True,153
881,-164.0,True,164
882,-194.0,True,194
883,-154.0,True,154
884,-142.0,True,142
885,-149.0,True,149
886,-157.0,True,157
887,-146.0,True,146
888,-165.0,True,165
889,-159.0,True,159
890,-166.0,True,166
891,-157.0,True,157
892,-174.0,True,174
893,-161.0,True,161
894,-170.0,True,170
895,-200.0,False,200
896,-168.0,True,168
897,-200.0,True,200
898,-200.0,False,200
899,-159.0,True,159
900,-162.0,True,162
901,-176.0,True,176
902,-200.0,False,200
903,-159.0,True,159
904,-150.0,True,150
905,-168.0,True,168
906,-200.0,False,200
907,-200.0,False,200
908,-160.0,True,160
909,-176.0,True,176
910,-164.0,True,164
911,-166.0,True,166
912,-155.0,True,155
913,-160.0,True,160
914,-173.0,True,173
915,-171.0,True,171
916,-165.0,True,165
917,-165.0,True,165
918,-175.0,True,175
919,-200.0,False,200
920,-169.0,True,169
921,-190.0,True,190
922,-171.0,True,171
923,-170.0,True,170
924,-200.0,False,200
925,-200.0,False,200
926,-178.0,True,178
927,-166.0,True,166
928,-165.0,True,165
929,-200.0,False,200
930,-200.0,False,200
931,-200.0,False,200
932,-200.0,False,200
933,-149.0,True,149
934,-156.0,True,156
935,-162.0,True,162
936,-200.0,False,200
937,-200.0,False,200
938,-200.0,False,200
939,-159.0,True,159
940,-158.0,True,158
941,-160.0,True,160
942,-148.0,True,148
943,-155.0,True,155
944,-165.0,True,165
945,-200.0,False,200
946,-160.0,True,160
947,-172.0,True,172
948,-166.0,True,166
949,-170.0,True,170
950,-161.0,True,161
951,-165.0,True,165
952,-169.0,True,169
953,-179.0,True,179
954,-171.0,True,171
955,-169.0,True,169
956,-182.0,True,182
957,-200.0,False,200
958,-163.0,True,163
959,-129.0,True,129
960,-200.0,False,200
961,-200.0,False,200
962,-200.0,False,200
963,-171.0,True,171
964,-171.0,True,171
965,-152.0,True,152
966,-200.0,False,200
967,-160.0,True,160
968,-155.0,True,155
969,-123.0,True,123
970,-200.0,False,200
971,-170.0,True,170
972,-160.0,True,160
973,-160.0,True,160
974,-154.0,True,154
975,-158.0,True,158
976,-161.0,True,161
977,-175.0,True,175
978,-166.0,True,166
979,-200.0,False,200
980,-200.0,False,200
981,-168.0,True,168
982,-185.0,True,185
983,-171.0,True,171
984,-168.0,True,168
985,-163.0,True,163
986,-180.0,True,180
987,-169.0,True,169
988,-200.0,False,200
989,-178.0,True,178
990,-200.0,False,200
991,-200.0,False,200
992,-200.0,False,200
993,-200.0,False,200
994,-200.0,False,200
995,-200.0,False,200
996,-200.0,False,200
997,-200.0,False,200
998,-200.0,False,200
999,-200.0,False,200
1000,-200.0,False,200
1001,-200.0,False,200
1002,-200.0,False,200
1003,-200.0,False,200
1004,-200.0,False,200
1005,-200.0,False,200
1006,-200.0,False,200
1007,-200.0,False,200
1008,-200.0,False,200
1009,-200.0,False,200
1010,-200.0,False,200
1011,-200.0,False,200
1012,-200.0,False,200
1013,-200.0,False,200
1014,-200.0,False,200
1015,-200.0,False,200
1016,-200.0,False,200
1017,-200.0,False,200
1018,-200.0,False,200
1019,-200.0,False,200
1020,-200.0,False,200
1021,-200.0,False,200
1022,-200.0,False,200
1023,-200.0,False,200
1024,-200.0,False,200
1025,-200.0,False,200
1026,-200.0,False,200
1027,-200.0,False,200
1028,-200.0,False,200
1029,-200.0,False,200
1030,-200.0,False,200
1031,-200.0,False,200
1032,-200.0,False,200
1033,-200.0,False,200
1034,-200.0,False,200
1035,-200.0,False,200
1036,-200.0,False,200
1037,-200.0,False,200
1038,-200.0,False,200
1039,-200.0,False,200
1040,-200.0,False,200
1041,-200.0,False,200
1042,-200.0,False,200
1043,-200.0,False,200
1044,-200.0,False,200
1045,-200.0,False,200
1046,-200.0,False,200
1047,-200.0,False,200
1048,-200.0,False,200
1049,-200.0,False,200
1050,-200.0,False,200
1051,-200.0,False,200
1052,-200.0,False,200
1053,-200.0,False,200
1054,-200.0,False,200
1055,-200.0,False,200
1056,-200.0,False,200
1057,-200.0,False,200
1058,-200.0,False,200
1059,-200.0,False,200
1060,-200.0,False,200
1061,-200.0,False,200
1062,-200.0,False,200
1063,-200.0,False,200
1064,-200.0,False,200
1065,-200.0,False,200
1066,-200.0,False,200
1067,-200.0,False,200
1068,-200.0,False,200
1069,-200.0,False,200
1070,-200.0,False,200
1071,-200.0,False,200
